Soma_Surface,N_stems,N_bifs,N_branch,N_tips,Width,Height,Depth,Diameter,Length,Surface,Volume,EucDistance,PathDistance,Branch_Order,Branch_pathlength,Contraction,Fragmentation,Partition_asymmetry,Pk_classic,Bif_ampl_local,Bif_ampl_remote,Bif_tilt_local,Bif_tilt_remote,Bif_torque_local,Bif_torque_remote,Helix,Fractal_Dim,Branch_pathlength_terminal,Contraction_terminal,Branch_pathlength_internal,Contraction_internal
,,,,,404.1,810.1,313.33,2.216,5.07319,35.3184,19.5664,228.28,262.174,1,,,,,,,,,,,,0.01,,,,,
,,,,,404.1,810.1,313.33,2.332,4.18727,30.6767,17.8845,232.278,266.361,1,,,,,,,,,,,,0.01,,,,,
,,,,,404.1,810.1,313.33,2.396,4.0487,30.4756,18.2549,235.914,270.41,1,,,,,,,,,,,,0,,,,,
,,,,,404.1,810.1,313.33,2.362,5.56605,41.3025,24.3892,240.594,275.976,1,,,,,,,,,,,,0,,,,,
,,,,,404.1,810.1,313.33,2.208,5.25568,36.4568,20.1241,245.329,281.232,1,,,,,,,,,,,,0.02,,,,,
,,,,,404.1,810.1,313.33,2.072,4.20759,27.3888,14.1874,249.11,285.439,1,,,,,,,,,,,,0,,,,,
,,,,,404.1,810.1,313.33,2.042,4.17757,26.7997,13.6812,252.551,289.617,1,,,,,,,,,,,,0,,,,,
,,,,,404.1,810.1,313.33,2.022,4.58807,29.1448,14.7327,256.088,294.205,1,,,,,,,,,,,,0,,,,,
,,,,,404.1,810.1,313.33,1.928,4.77933,28.9484,13.9531,259.868,298.984,1,,,,,,,,,,,,0.01,,,,,
,,,,,404.1,810.1,313.33,1.704,4.20055,22.4867,9.57933,263.501,303.185,1,,,,,,,,,,,,0,,,,,
,,,,,404.1,810.1,313.33,1.438,3.11962,14.0932,5.06651,266.367,306.305,1,,,,,,,,,,,,0,,,,,
,,,,,404.1,810.1,313.33,6.438,32.9994,667.431,1074.23,32.9994,32.9994,0,,,,,,,,,,,,0,,,,,
,,,,,404.1,810.1,313.33,6.312,2.92229,57.9483,91.4424,35.8637,35.9217,0,,,,,,,,,,,,0,,,,,
,,,,,404.1,810.1,313.33,5.58,4.9788,87.2787,121.754,40.8077,40.9005,0,,,,,,,,,,,,0,,,,,
,,,,,404.1,810.1,313.33,4.846,4.9788,75.798,91.8292,45.7593,45.8793,0,,,,,,,,,,,,0,,,,,
,,,,,404.1,810.1,313.33,4.114,4.9788,64.3485,66.1824,50.7162,50.8581,0,,,,,,,,,,,,0,,,,,
,,,,,404.1,810.1,313.33,3.764,6.08793,71.9895,67.7421,56.7724,56.946,0,,,,,,,,,,,,0,,,,,
,,,,,404.1,810.1,313.33,3.796,7.26336,86.6191,82.2015,63.9352,64.2094,0,,,,,,,,,,,,0,,,,,
,,,,,404.1,810.1,313.33,3.74,7.02508,82.5415,77.1763,70.9109,71.2344,0,,,,,,,,,,,,-0.01,,,,,
,,,,,404.1,810.1,313.33,3.594,6.79001,76.6652,68.8837,77.6798,78.0244,0,,,,,,,,,,,,0,,,,,
,,,,,404.1,810.1,313.33,3.626,4.49579,51.2134,46.4249,82.0048,82.5202,0,,,,,,,,,,,,0,,,,,
,,,,,404.1,810.1,313.33,3.832,3.02273,36.3894,34.861,83.9276,85.543,0,,,,,,,,,,,,0,,,,,
,,,,,404.1,810.1,313.33,3.878,4.62763,56.3789,54.6594,87.7361,90.1706,0,,,,,,,,,,,,0,,,,,
,,,,,404.1,810.1,313.33,3.856,5.8301,70.6258,68.0832,93.3447,96.0007,0,,,,,,,,,,,,0,,,,,
,,,,,404.1,810.1,313.33,3.93,5.54102,68.412,67.2148,98.8762,101.542,0,,,,,,,,,,,,0,,,,,
,,,,,404.1,810.1,313.33,3.966,5.0786,63.2771,62.7393,103.855,106.62,0,,,,,,,,,,,,0.01,,,,,
,,,,,404.1,810.1,313.33,3.96,4.74252,59.0003,58.4103,108.278,111.363,0,,,,,,,,,,,,0,,,,,
,,,,,404.1,810.1,313.33,3.908,4.6469,57.0516,55.7394,112.531,116.01,0,,,,,,,,,,,,0,,,,,
,,,,,404.1,810.1,313.33,3.808,4.41838,52.8579,50.3207,116.428,120.428,0,,,,,,,,,,,,0,,,,,
,,,,,404.1,810.1,313.33,3.702,5.97737,69.5179,64.3388,122.404,126.405,0,,,,,,,,,,,,0,,,,,
,,,,,404.1,810.1,313.33,3.59,8.346,94.1288,84.4806,130.462,134.751,0,,,,,,,,,,,,0,,,,,
